,axial_max,tang_max,index_of_axm,index_of_tnm,axial_in_mxt,tang_in_mxa,cone_angl,frequancy,label
0,-11.3178236089494,-4.436467319842976,15,37,-9.64167312522449,-4.598148324796838,13,61.63931527,1
1,-12.3491071408852,-12.956272352202811,26,42,-9.96412190657749,-10.995031047780099,6,133.41059141,1
2,-13.2422223943208,-8.850066826921882,18,42,-9.38234307649539,-9.774872556341856,8,108.57509764,0
3,-13.5048105352587,-10.83380152077872,30,46,-11.45843574126672,-9.918396136165661,14,136.30150599,1
4,-14.897106695689,-12.102707050892821,26,44,-11.24604205922646,-11.697430585446126,13,111.69805402,1
5,-13.2757039417676,-9.268987118548496,22,43,-12.36338470674063,-8.502223104374389,10,92.62344636,0
6,-12.3518086598799,-15.722870313309297,30,46,-7.2694128503867,-14.806418733096269,9,134.86852152,1
7,-11.0497565567611,-2.7154597857768934,17,35,-8.16255200819314,-1.2782204433492126,13,8.00330965,0
8,-12.7894302823775,-13.894286753369151,28,45,-8.39431832765451,-10.7614759443162,7,136.71820533,1
9,-14.2827527488747,-12.367090092588597,27,50,-13.18778233477991,-11.359035096595463,14,130.20309094,0
10,-11.3037096413386,-10.391954341814305,22,42,-9.09686252525093,-10.630845652599852,11,136.18353407,1
11,-11.1054749821644,-9.9733256225105,30,42,-8.87483280675139,-6.124231938534718,10,125.33680986,1
12,-11.0249026277487,-6.124526923382376,30,42,-7.34332813527943,-4.391343115133985,6,120.38576905,1
13,-11.9390751196892,-14.071048844476039,30,46,-6.91244243108074,-14.76513561873475,15,136.7516087,1
14,-12.296481955678,-6.5360027816030115,29,47,-13.74073623533997,-7.117906232914155,12,14.91414349,1
15,-13.5051019662526,-14.762797911082426,30,44,-6.77314599110073,-11.16652097487568,8,136.75134272,1
16,-12.5522137995117,-7.957383841915716,26,42,-10.914582084309,-5.392223133719321,15,121.3066578,1
17,-11.2268904664969,-16.175793530694154,30,49,-8.6573307440199,-13.016572107957964,9,136.75210591,1
18,-12.2530777086922,-12.247241525749684,29,51,-11.64794418853816,-11.500886446256956,14,134.34876624,1
19,-11.2367383098817,-1.3599685142974458,15,39,-12.48513278698014,-0.8852363606213274,10,0.42114109,0
20,-11.4589297142745,-1.5712820283373006,5,33,-10.24938134542478,0.10063159820560941,14,0.21523333,0
21,-12.7682438399396,-8.848219854311957,24,48,-12.88729339288646,-7.526827516808906,14,94.27857419,1
22,-15.6061583419758,-15.552061806418685,30,53,-11.55896609722408,-14.430251830487219,15,136.74731311,1
23,-11.0345740253636,-3.0961631945861257,28,39,-9.46277729948067,-3.810124468495431,14,35.20951982,0
24,-12.5654191121738,-7.9414414652317245,23,38,-8.21872163415373,-6.057105736662063,8,104.84339371,1
25,-11.5541515756942,-9.368603126384091,30,39,-6.57992854481797,-6.581671213209338,14,136.65022675,1
26,-16.5647256197065,-15.488056974248424,28,50,-13.6949481690742,-15.637276381420609,9,116.03244375,1
27,-12.2777707227627,-8.922962704504993,18,41,-13.23435370252333,-8.824263369549108,6,64.04025081,1
28,-11.9434066942903,-6.410530057909654,26,42,-10.10789562372864,-5.464126603530335,11,18.96813256,0
29,-12.060219137931,-6.515994384922715,10,33,-10.69301181765988,-3.5791085375791223,7,47.39406404,0
30,-14.5527027690644,-13.79311305555543,12,51,-13.14524070197308,-14.421497860322361,11,136.23949742,1
31,-12.7029362684254,-12.465244049560777,29,41,-7.71469580515662,-8.848776738301156,15,133.26525895,1
32,-11.9484653831209,-4.164069416245539,22,37,-10.61425560008688,-3.5258988119012713,14,65.3006394,1
33,-11.4523245742071,-6.847966746570886,15,38,-8.65406446828955,-8.20185900947821,13,130.28656827,1
34,-12.7768190202663,-10.380702088463295,27,41,-11.25271027019151,-8.689926896561785,11,122.56226329,1
35,-11.4900640789669,-6.504068635927743,23,39,-11.15962530799165,-4.292091820751503,15,44.6994579,0
36,-15.5862478634055,-16.807890674345142,27,50,-11.45007696130765,-16.345571483887852,15,136.61252356,1
37,-13.13196831755,-15.703945565425101,30,46,-10.34723455783114,-12.953994720026456,14,136.38504206,1
38,-11.8676948202541,-9.157500875949522,30,40,-8.91039350020041,-7.112102551426604,10,102.4355948,1
39,-10.9296543105878,-2.6235660241039547,5,34,-6.79976211245754,-2.0150107981222334,11,5.92689296,0
40,-12.7084087784732,-11.978102438937931,30,44,-9.07122462861471,-10.229417718658462,15,136.68237578,1
41,-13.1246422584567,-11.18153991858795,27,47,-11.26698790439556,-7.752513511832909,10,73.20324226,1
42,-13.3231775726196,-7.011683640662744,9,39,-11.89266621103974,-6.963056557739213,6,49.68932978,1
43,-13.1862488120615,-8.477430082993498,18,42,-10.90334816281728,-7.186844996093264,9,89.61254055,0
44,-11.0195191670634,-4.783501660142344,3,37,-10.36990456187372,-4.702901310049398,11,9.22602225,0
45,-13.491802054476,-14.29174982764534,27,47,-9.36768634438562,-14.13209631263456,10,134.26116192,0
46,-13.9712528485649,-11.217237310530063,29,38,-11.10184071796049,-9.730144411747643,9,131.66642775,1
47,-15.034938090219,-13.81742640284051,11,48,-9.61849824983209,-13.186116302467077,7,136.07838203,1
48,-11.6399305984566,-0.913827175513055,2,33,-11.76814921181392,-0.3523911255830221,13,1.00360544,0
49,-11.109317159945,-4.233735494940257,24,40,-10.80120922212945,-2.746601585001434,11,134.61359563,1
50,-12.2750724596657,-12.376955449867268,18,41,-10.10175544434598,-10.919459894640134,8,129.40381864,0
51,-11.4792696296774,-5.177666235215417,30,37,-5.44294182918541,-0.5949699830798245,15,133.94690056,1
52,-12.8165794827064,-11.80351073711399,25,50,-11.91316085965688,-12.334469516687045,11,134.65939479,1
53,-12.4111058833989,-12.761060783555152,29,50,-12.14937492264624,-12.233860591474105,6,132.88971988,1
54,-12.7006045066429,-4.051999925966481,7,39,-12.34086390382922,-5.583783757493245,6,48.7568211,1
55,-13.0325604237046,-3.0655966754421637,3,35,-12.35080914244396,-2.752802205371008,9,11.40511347,0
56,-12.7504958037683,-17.384993761471655,30,48,-8.01501247792385,-15.183040447146208,15,136.73551908,1
57,-11.8770790661008,-4.771536292858876,24,35,-10.04337577854712,-4.150446326674322,12,25.88164861,1
58,-12.5112893321487,-14.39846573035212,30,41,-8.98872946367006,-12.649389164565953,9,136.74877297,1
59,-14.4027852045211,-8.614417066080346,4,42,-12.49029381810025,-10.205642112726409,8,86.94258786,1
60,-12.4282242479214,-3.741423152584833,3,39,-13.35174212004601,-4.00010904276238,7,7.7567828,1
61,-13.6943608775509,-15.113283309762037,30,44,-10.12682723269596,-12.692420577832053,9,135.36668455,1
62,-12.6792219205948,-12.08358102276674,25,47,-12.84071493932532,-11.310479348714296,15,128.93186333,1
63,-12.7304247021343,-10.885112301288764,29,37,-8.44907623786988,-7.021228786562366,15,79.07027467,1
64,-12.6195744477436,-12.791592494899,30,43,-8.98652243750794,-10.654413064032504,8,136.74012085,1
65,-11.8581457791453,-11.678043366833126,30,47,-9.45312654665952,-10.422894462578698,15,136.71405441,1
66,-12.0535229004129,-7.914812540264368,6,45,-13.64764471861561,-9.625103873612455,10,14.47884351,1
67,-13.1733223795941,-11.029353459076717,30,45,-12.41264956536478,-9.238542293257968,12,119.53268014,1
